"date","big_growth","big_neutral","big_value","small_growth","small_neutral","small_value"
2014-07-31,0.0133691344415342,0.0220817626894506,0.0402276087080978,0.0441454152480553,-0.0254580395237993,0.0578814010897636
2014-08-31,0.032385182809686,0.0507815161043489,-0.00468513830318364,0.0536410483212318,0.012177859527975,0.0193479632201531
2014-09-30,-0.0546846603603929,-0.100128831331914,-0.134143362713141,-0.0634690740379966,-0.0898384969522076,-0.0898827783281661
2014-10-31,0.0274837759365189,0.030842803545322,0.0119677904295758,-0.0134349371071517,-0.0274348089612996,-0.0350588352519514
2014-11-30,-0.0158025764292663,-0.00880571554244777,-0.00715335645067736,-0.0112598928524587,0.030983785491065,0.0159154173321837
2014-12-31,-0.0463546129539589,-0.0487627846477077,-0.0161868015285933,-0.00899680513302816,-0.0101638739409151,0.00212086928201969
2015-01-31,0.0130143824674717,-0.0173872665933403,-0.0675589156221433,0.0261687078079857,0.034787666963822,0.039867515599929
2015-02-28,0.0559476542645836,0.019142729282722,0.0378196429565734,0.0200185679887066,0.0457664847517199,0.0230127034741093
2015-03-31,-0.0377046235197928,-0.0468433957954146,-0.0322072520434674,0.0121888180490868,-0.0234143382873847,-0.0106677880264839
2015-04-30,0.0218041693902932,0.0736890077610907,0.177220599761098,0.026235212752236,0.075628665077082,0.0799238299245552
2015-05-31,-0.0216755006431514,-0.0419947623570087,-0.067579182980412,-0.0395538514975239,-0.0250769122587888,-0.0996199062236215
2015-06-30,0.0137087895087263,-0.0173417230638642,-0.0390377941843582,-0.0300489688450233,-0.0443965122529779,-0.071982416522177
2015-07-31,-0.0690425336019232,-0.106674081963227,-0.134757340851517,-0.124287444553518,-0.094107400990004,-0.116309013320908
2015-08-31,-0.10065720309655,-0.110440766126853,-0.0963915807003152,-0.0706752341011414,-0.112637316197625,-0.141739447602286
2015-09-30,-0.0217924399554343,-0.0250203922386716,-0.0808630207834762,-0.0293555766886575,-0.0243628693986628,-0.0627487334936213
2015-10-31,0.0538404384211958,0.0716536965993414,0.114468856827044,0.0574375252851153,0.0931513346193402,0.102147373154168
2015-11-30,-0.0344293339724336,-0.0336062732581349,-0.0564643358519589,-0.0174234068881115,-0.0531069923786927,-0.0972707510539547
2015-12-31,-0.0126189982705402,-0.013456183229554,-0.0475107275891977,-0.0361933856492211,-0.00123153745866552,-0.0563047395281184
2016-01-31,-0.0428513841104308,-0.112159077661156,-0.110117759996975,0.00259214011270101,-0.0611327029662282,-0.0099669061383664
2016-02-29,-0.042675972114075,-0.0285950281789581,-0.00918526550820929,0.000666261519539762,0.0121614336407069,0.0447587257543624
2016-03-31,0.114649361459538,0.165113024766443,0.193532274975206,0.113234135798539,0.0560404785400215,0.1557072569405
2016-04-30,-0.00858115555607358,-0.00197824799940477,0.0575058014029617,0.0246737641389528,0.0170108141803325,0.0890380543343126
2016-05-31,-0.0173250863348788,-0.057893624972848,-0.0711904078913442,-0.0168812668921861,-0.0407249054153426,-0.0907712844303013
2016-06-30,0.0347882721799002,0.0450586877186685,0.0629964456035599,0.0634989970341096,0.0101334178972601,0.0672290647650085
2016-07-31,0.0239971735083257,0.0469956935314075,0.0469073787132905,0.0631531792685034,0.0621182795982065,0.119752432657084
2016-08-31,0.00463311004928132,0.0436947068208157,0.045563290432425,0.036755776951396,0.00974394411322052,-0.0110139455356591
2016-09-30,0.00121265082938668,0.0155275265358215,0.0137242853275966,-0.00622860595259447,0.0175743555381055,0.0241093989807667
2016-10-31,-0.00379663655418355,0.0321929522577626,0.0146562287172466,0.0145756365491611,0.00143180494591627,-0.00146419879848419
2016-11-30,-0.0848390978824768,-0.0308062253899054,-0.00791259776916164,-0.101692896408586,-0.0371738246763968,-0.0292562055440923
2016-12-31,-0.00730214153347224,-0.0308746660452868,0.0115733347070592,-0.00347527642082928,-0.00777612185983694,-0.00935756132028136
2017-01-31,0.0248178640346244,0.0584200176217567,0.0401163630845436,0.0410019937050366,0.054907825918213,0.0897600150160996
2017-02-28,0.0392893664509995,0.0504961180442446,0.00330604948722931,0.0399597495202283,0.0569037726709252,0.0399910746110007
2017-03-31,0.0549126069542203,-0.0129188728316428,0.00986535323392504,0.0236412109657645,0.050807630572354,0.0119481198666265
2017-04-30,0.00493562482009584,0.00864495473563735,-0.0101918816383462,0.039968419293331,0.00537552924925215,0.00906943073043224
2017-05-31,0.0174797732856383,0.010801837115962,-0.00548029281370025,0.036069034441058,0.029876062339644,0.0372324948032519
2017-06-30,0.00263330912141766,-0.0144966131529436,-0.0356568696422629,0.0319168334976556,0.0109251650236455,0.0172139298000464
2017-07-31,0.0554004635295281,0.0614049006214977,0.0543702464766781,0.0427298004908493,0.0217930479613483,0.0166574390769193
2017-08-31,0.00636094168812363,0.0192013989577529,0.0309243473389327,0.0192020791163996,0.00539399379550788,0.0617547811101842
2017-09-30,-0.0213288811261499,0.0121565590571804,-0.0292159128727754,-0.0412485884321417,-0.0483813070059937,-0.0662538068218384
2017-10-31,0.0173198924273954,0.0425667650113679,0.036335205988149,0.00970747579707234,0.0451826578732457,0.044300679403893
2017-11-30,0.0105457483482533,-0.0208608320169558,-4.6248228991033e-05,0.0722106443718812,0.0275539430278729,0.00199186409958384
2017-12-31,0.0511320467310196,0.0355445377016938,0.0234445498921349,0.100135230203892,0.0421733134136936,0.0709990195850291
2018-01-31,0.0614220607966259,0.0949900134400963,0.183351962421898,0.0850538563744448,0.0743222998210061,0.0690495575160602
2018-02-28,-0.0444040156722564,-0.0468307769485447,-0.0650880559488432,-0.024707966730051,-0.0621017337027422,-0.0639232726435586
